hour,mae,mape,count
0,0.22414424,0.33591485,216
1,0.18581839,0.30415806,216
2,0.15525945,0.28658307,216
3,0.13651994,0.28169075,216
4,0.143566,0.31820586,216
5,0.1426792,0.32460228,216
6,0.20953311,0.3642344,216
7,0.49649525,0.47018924,216
8,0.3409758,0.41602007,216
9,0.32632625,0.42712063,216
10,0.34975407,0.4676357,216
11,0.38123,0.473235,216
12,0.40407354,0.48824355,216
13,0.35619774,0.4406468,216
14,0.3607856,0.48490995,216
15,0.31063747,0.4429125,216
16,0.29498017,0.47118,216
17,0.33340904,0.48239103,216
18,0.39524138,0.44241664,216
19,0.41872883,0.45125136,216
20,0.4383714,0.4563099,216
21,0.46578583,0.42206907,217
22,0.36909524,0.3767342,216
23,0.3146406,0.42975095,216
