model,slice_type,slice_value,count,mae,mape
baseline_pred,time_of_day,afternoon,1296,0.41003151204853894,0.7337079176427702
baseline_pred,time_of_day,evening,1297,0.48690094494639313,0.6043743800212804
baseline_pred,time_of_day,morning,1296,0.4156085975009975,0.5659534262509188
baseline_pred,time_of_day,overnight,1296,0.20341873192742493,0.44640571251039535
baseline_pred,day_type,weekday,3718,0.3622136623144262,0.5559312808842996
baseline_pred,day_type,weekend,1467,0.42158172301607183,0.6679100024945253
lstm_pred,time_of_day,afternoon,1296,0.3433472532021605,0.4683806340219472
lstm_pred,time_of_day,evening,1297,0.4003610252043176,0.4297494325286108
lstm_pred,time_of_day,morning,1296,0.3507190699228396,0.4364058387947979
lstm_pred,time_of_day,overnight,1296,0.1646645337345679,0.30852580532384516
lstm_pred,day_type,weekday,3718,0.2993933923480366,0.3943690474088206
lstm_pred,day_type,weekend,1467,0.35380968468302654,0.45233374791671305
tcn_pred,time_of_day,afternoon,1296,0.34600577780864195,0.4707618833344705
tcn_pred,time_of_day,evening,1297,0.41804233858134154,0.4857848865356304
tcn_pred,time_of_day,morning,1296,0.3458416387037037,0.47221574246963743
tcn_pred,time_of_day,overnight,1296,0.1790294097067901,0.37897321968718767
tcn_pred,day_type,weekday,3718,0.30596359877084456,0.4418937477078622
tcn_pred,day_type,weekend,1467,0.3635205314860259,0.47740309448916185
